constituency,ward
Changamwe,Port Reitz
Changamwe,Kipevu
Changamwe,Airport
Changamwe,Changamwe
Changamwe,Chaani
Jomvu,Jomvu Kuu
Jomvu,Miritini
Jomvu,Mikindani
Kisauni,Mjambere
Kisauni,Junda
Kisauni,Bamburi
Kisauni,Mwakirunge
Kisauni,Mtopanga
Kisauni,Magogoni
Kisauni,Shanzu
Nyali,Frere Town
Nyali,Ziwa La Ng'ombe
Nyali,Mkomani
Nyali,Kongowea
Nyali,Kadzandani
Likoni,Mtongwe
Likoni,Shika Adabu
Likoni,Bofu
Likoni,Likoni
Likoni,Timbwani
Mvita,Mji Wa Kale/Makadara
Mvita,Tudor
Mvita,Tononoka
Mvita,Shimanzi/Ganjoni
Mvita,Majengo
Msambweni,Gombato Bongwe
Msambweni,Ukunda
Msambweni,Kinondo
Msambweni,Ramisi
Lungalunga,Pongwe/Kikoneni
Lungalunga,Dzombo
Lungalunga,Mwereni
Lungalunga,Vanga
Matuga,Tsimba Golini
Matuga,Waa
Matuga,Tiwi
Matuga,Kubo South
Matuga,Mkongani
Kinango,Ndavaya
Kinango,Puma
Kinango,Kinango
Kinango,Mackinnon Road
Kinango,Chengoni/Samburu
Kinango,Mwavumbo
Kinango,Kasemeni
Kilifi North,Tezo
Kilifi North,Sokoni
Kilifi North,Kibarani
Kilifi North,Dabaso
Kilifi North,Matsangoni
Kilifi North,Watamu
Kilifi North,Mnarani
Kilifi South,Junju
Kilifi South,Mwarakaya
Kilifi South,Shimo La Tewa
Kilifi South,Chasimba
Kilifi South,Mtepeni
Kaloleni,Mariakani
Kaloleni,Kayafungo
Kaloleni,Kaloleni
Kaloleni,Mwanamwinga
Rabai,Mwawesa
Rabai,Ruruma
Rabai,Kambe/Ribe
Rabai,Rabai/Kisurutini
Ganze,Ganze
Ganze,Bamba
Ganze,Jaribuni
Ganze,Sokoke
Malindi,Jilore
Malindi,Kakuyuni
Malindi,Ganda
Malindi,Malindi Town
Malindi,Shella
Magarini,Marafa
Magarini,Magarini
Magarini,Gongoni
Magarini,Adu
Magarini,Garashi
Magarini,Sabaki
Garsen,Kipini East
Garsen,Garsen South
Garsen,Kipini West
Garsen,Garsen Central
Garsen,Garsen West
Garsen,Garsen North
Galole,Kinakomba
Galole,Mikinduni
